City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lavra,PT,2020-02-23 05:22:00,41.26,-8.72,42.8,100,0,3.36
70,Baberu,IN,2020-02-23 05:22:00,25.55,80.72,78.04,46,0,3.69
71,Beloha,MG,2020-02-23 05:22:01,-25.17,45.05,84.92,62,51,10.83
72,Narsaq,GL,2020-02-23 05:22:01,60.92,-46.05,24.8,73,100,11.41
73,Marsh Harbour,BS,2020-02-23 05:22:01,26.54,-77.06,66.76,71,1,19.69
74,Klaksvik,FO,2020-02-23 05:22:01,62.23,-6.59,32.0,93,100,10.29
75,San Cristobal,VE,2020-02-23 05:22:01,7.77,-72.22,78.8,74,75,2.24
76,Joensuu,FI,2020-02-23 05:22:02,62.58,29.75,35.01,78,90,21.92
77,Mar Del Plata,AR,2020-02-23 05:17:42,-38.0,-57.56,57.99,93,0,3.36
78,Nsanje,MW,2020-02-23 05:22:02,-16.92,35.26,81.99,79,69,2.46
79,Muravlenko,RU,2020-02-23 05:22:02,63.79,74.52,24.21,90,99,22.75
80,Palmas De Monte Alto,BR,2020-02-23 05:22:03,-14.27,-43.16,68.09,95,100,0.83
81,Ivanivka,UA,2020-02-23 05:22:03,46.72,34.55,35.28,80,0,9.1
82,Khromtau,KZ,2020-02-23 05:22:03,50.25,58.43,19.4,94,97,6.67
83,Mahebourg,MU,2020-02-23 05:20:06,-20.41,57.7,82.0,88,75,7.0
84,Longyearbyen,SJ,2020-02-23 05:22:03,78.22,15.64,-4.0,76,20,9.17
85,Pisco,PE,2020-02-23 05:22:04,-13.7,-76.22,73.4,88,90,6.93
86,Rio Grande,BR,2020-02-23 05:18:12,-32.03,-52.1,57.0,95,32,7.83
87,Port-Gentil,GA,2020-02-23 05:17:09,-0.72,8.78,82.4,94,75,3.36
88,Tasiilaq,GL,2020-02-23 05:22:04,65.61,-37.64,14.0,66,0,4.7
89,Marzuq,YE,2020-02-23 05:22:05,14.4,46.47,76.96,15,0,2.37
90,Saldanha,ZA,2020-02-23 05:22:05,-33.01,17.94,62.6,59,0,8.05
91,Port Elizabeth,ZA,2020-02-23 05:22:05,-33.92,25.57,60.8,82,40,4.7
92,Lahan,NP,2020-02-23 05:22:05,26.73,86.5,80.76,40,15,5.44
93,Bubaque,GW,2020-02-23 05:22:05,11.28,-15.83,77.94,62,66,12.41
94,Nuuk,GL,2020-02-23 05:19:14,64.18,-51.72,17.6,85,100,13.87
95,Karasjok,NO,2020-02-23 05:22:06,69.47,25.51,24.8,79,64,4.7
96,Micheweni,TZ,2020-02-23 05:22:06,-4.97,39.83,83.05,77,80,14.58
97,Lebu,CL,2020-02-23 05:22:07,-37.62,-73.65,49.73,95,3,1.99
98,La Romana,DO,2020-02-23 05:22:07,18.43,-68.97,71.6,94,75,3.36
99,Omboue,GA,2020-02-23 05:22:07,-1.57,9.26,76.86,91,99,1.34
100,Busselton,AU,2020-02-23 05:22:08,-33.65,115.33,86.0,29,99,8.97
101,Rocha,UY,2020-02-23 05:22:08,-34.48,-54.33,52.21,91,0,2.33
102,Sadon,RU,2020-02-23 05:22:08,42.85,44.0,35.6,100,90,2.24
103,Zubtsov,RU,2020-02-23 05:22:09,56.18,34.59,33.89,97,100,16.4
104,Touros,BR,2020-02-23 05:22:09,-5.2,-35.46,78.8,88,40,3.36
